customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,Yes,No,42,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,29.78,1254.15,No
CUST-00002,Female,1,Yes,Yes,68,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),64.17,4357.79,No
CUST-00003,Male,0,No,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),45.18,2816.36,No
CUST-00004,Male,0,Yes,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),45.52,3148.49,No
CUST-00005,Male,0,Yes,No,64,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,63.0,4036.21,No
CUST-00006,Female,1,Yes,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,104.24,6901.74,No
CUST-00007,Male,0,Yes,No,53,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.93,5021.55,No
CUST-00008,Male,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),107.26,3754.35,No
CUST-00009,Male,0,No,No,70,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,118.01,8266.32,No
CUST-00010,Female,0,No,No,14,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,19.12,257.01,No
CUST-00011,Male,0,No,No,17,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,87.94,1488.34,No
CUST-00012,Male,0,No,No,3,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),30.1,100.27,No
CUST-00013,Male,0,No,No,10,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),112.62,1121.24,Yes
CUST-00014,Male,0,No,No,5,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),40.91,213.27,No
CUST-00015,Female,0,Yes,No,50,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),53.35,2661.2,No
CUST-00016,Male,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),116.88,6682.36,No
CUST-00017,Female,0,No,Yes,59,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),105.59,6206.38,No
CUST-00018,Female,0,No,No,17,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,22.77,397.18,No
CUST-00019,Female,1,No,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,22.73,1502.69,No
CUST-00020,Male,0,Yes,Yes,16,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),100.7,1595.89,Yes
CUST-00021,Female,1,No,No,33,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,25.11,826.4,No
CUST-00022,Male,0,No,Yes,29,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),104.03,2997.6,No
CUST-00023,Female,0,Yes,No,18,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.39,2008.54,Yes
CUST-00024,Female,1,No,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.41,157.31,No
CUST-00025,Female,0,No,No,39,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Electronic check,40.22,1549.08,No
CUST-00026,Female,0,No,No,43,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,20.34,876.28,No
CUST-00027,Female,0,No,Yes,58,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,25.36,1472.33,No
CUST-00028,Female,0,No,No,24,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,71.94,1747.63,No
CUST-00029,Female,0,No,Yes,70,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,91.75,6430.78,No
CUST-00030,Female,0,No,No,52,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,66.43,3430.49,No
CUST-00031,Male,0,Yes,No,47,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),56.98,2672.78,No
CUST-00032,Male,0,Yes,Yes,70,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,38.88,2732.65,No
CUST-00033,Female,0,No,No,52,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.89,2162.01,No
CUST-00034,Female,0,Yes,Yes,48,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Mailed check,76.82,3679.64,No
CUST-00035,Female,0,No,No,42,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),104.43,4386.08,No
CUST-00036,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,58.86,1054.2,No
CUST-00037,Female,1,No,No,65,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,112.9,7354.41,No
CUST-00038,Male,0,Yes,No,33,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),23.26,769.41,No
CUST-00039,Male,1,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,101.75,7326.33,No
CUST-00040,Male,0,Yes,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),52.21,2757.96,No
CUST-00041,Male,0,Yes,No,0,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,105.75,0.0,Yes
CUST-00042,Male,0,No,Yes,54,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,110.86,5987.48,No
CUST-00043,Female,0,No,No,14,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,88.74,1241.56,Yes
CUST-00044,Female,0,Yes,Yes,14,No,No phone service,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,53.86,741.87,No
CUST-00045,Female,0,Yes,Yes,22,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.15,1413.64,Yes
CUST-00046,Female,0,No,No,65,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,73.73,4793.02,No
CUST-00047,Female,1,Yes,No,45,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.67,2907.07,Yes
CUST-00048,Male,0,No,No,8,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),97.91,795.21,No
CUST-00049,Female,0,Yes,No,65,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,95.92,6234.68,No
CUST-00050,Female,0,Yes,No,65,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,19.28,1250.82,No
CUST-00051,Male,0,No,No,17,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,33.32,577.75,No
CUST-00052,Female,0,No,Yes,16,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,54.72,874.01,No
CUST-00053,Male,0,No,No,71,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.91,6095.6,No
CUST-00054,Female,1,Yes,No,33,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),41.2,1347.9,No
CUST-00055,Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),50.6,3441.41,No
CUST-00056,Female,0,Yes,No,63,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),64.67,4083.53,No
CUST-00057,Female,0,No,No,43,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,77.55,3330.48,No
CUST-00058,Male,0,Yes,No,28,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,109.08,3040.95,No
CUST-00059,Male,0,Yes,No,61,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),99.27,6065.58,No
CUST-00060,Male,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,54.28,824.7,No
CUST-00061,Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,95.57,4879.92,No
CUST-00062,Male,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),102.1,103.06,No
CUST-00063,Male,0,No,Yes,60,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),70.76,4249.8,No
CUST-00064,Male,0,No,Yes,3,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,47.9,128.2,No
CUST-00065,Male,0,No,No,51,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,113.25,5769.93,No
CUST-00066,Female,0,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,115.19,4614.36,No
CUST-00067,Female,0,No,No,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.68,2078.06,No
CUST-00068,Male,1,No,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,97.29,2927.73,No
CUST-00069,Female,1,No,No,25,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,22.22,570.84,No
CUST-00070,Female,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.24,461.89,No
CUST-00071,Female,0,No,No,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,53.51,2680.34,No
CUST-00072,Female,0,Yes,No,47,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Mailed check,64.72,3039.26,No
CUST-00073,Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,73.18,727.34,No
CUST-00074,Female,1,No,Yes,7,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),56.2,418.12,No
CUST-00075,Male,0,Yes,Yes,11,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,31.01,325.41,No
CUST-00076,Female,1,No,Yes,44,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,52.82,2322.26,No
CUST-00077,Female,1,Yes,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,101.0,3330.64,No
CUST-00078,Female,0,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),51.91,3686.09,No
CUST-00079,Male,0,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),77.82,3560.0,No
CUST-00080,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,86.77,1725.59,Yes
CUST-00081,Male,1,No,No,40,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),91.98,3679.69,No
CUST-00082,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),67.29,1399.14,Yes
CUST-00083,Male,1,Yes,Yes,20,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),30.7,623.53,No
CUST-00084,Female,0,Yes,No,27,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,108.95,2947.45,No
CUST-00085,Male,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,44.29,2907.27,Yes
CUST-00086,Male,1,No,Yes,70,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,52.23,3653.8,No
CUST-00087,Female,0,No,No,13,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,96.15,1253.71,Yes
CUST-00088,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.12,6834.88,No
